TIPO_CONTAMINANTE,"Duration","AQI_CATEGORY","Low_AQI","High_AQI","Low_Breakpoint","High_Breakpoint"
PM25,"24 HOUR","GOOD",0,50,0.0,9.0
PM25,"24 HOUR","MODERATE",51,100,9.1,35.4
PM25,"24 HOUR","UNHEALTHY FOR SENSITIVE",101,150,35.5,55.4
PM25,"24 HOUR","UNHEALTHY",151,200,55.5,125.4
PM25,"24 HOUR","VERY UNHEALTHY",201,300,125.5,225.4
PM25,"24 HOUR","HAZARDOUS",301,500,225.5,325.4
PM25,"24 HOUR","HAZARDOUS",501,999,325.5,99999.9
PM25,"24-HR BLK AVG","GOOD",0,50,0.0,9.0
PM25,"24-HR BLK AVG","MODERATE",51,100,9.1,35.4
PM25,"24-HR BLK AVG","UNHEALTHY FOR SENSITIVE",101,150,35.5,55.4
PM25,"24-HR BLK AVG","UNHEALTHY",151,200,55.5,125.4
PM25,"24-HR BLK AVG","VERY UNHEALTHY",201,300,125.5,225.4
PM25,"24-HR BLK AVG","HAZARDOUS",301,500,225.5,325.4
PM25,"24-HR BLK AVG","HAZARDOUS",501,999,325.5,99999.9
CO,"8-HR RUN AVG END HOUR","GOOD",0,50,0.0,4.4
CO,"8-HR RUN AVG END HOUR","MODERATE",51,100,4.5,9.4
CO,"8-HR RUN AVG END HOUR","UNHEALTHY FOR SENSITIVE",101,150,9.5,12.4
CO,"8-HR RUN AVG END HOUR","UNHEALTHY",151,200,12.5,15.4
CO,"8-HR RUN AVG END HOUR","VERY UNHEALTHY",201,300,15.5,30.4
CO,"8-HR RUN AVG END HOUR","HAZARDOUS",301,500,30.5,50.4
CO,"8-HR RUN AVG END HOUR","HAZARDOUS",501,999,50.4,99999.9
NO2,"1 HOUR","GOOD",0,50,0.0,53.0
NO2,"1 HOUR","MODERATE",51,100,54.0,100.0
NO2,"1 HOUR","UNHEALTHY FOR SENSITIVE",101,150,101.0,360.0
NO2,"1 HOUR","UNHEALTHY",151,200,361.0,649.0
NO2,"1 HOUR","VERY UNHEALTHY",201,300,650.0,1249.0
NO2,"1 HOUR","HAZARDOUS",301,500,1250.0,2049.0
NO2,"1 HOUR","HAZARDOUS",501,999,2050.0,99999.0
O3,"1 HOUR","NONE",-1,-1,0.0,0.124
O3,"1 HOUR","UNHEALTHY FOR SENSITIVE",101,150,0.125,0.164
O3,"1 HOUR","UNHEALTHY",151,200,0.165,0.204
O3,"1 HOUR","VERY UNHEALTHY",201,300,0.205,0.404
O3,"1 HOUR","HAZARDOUS",301,500,0.405,0.604
O3,"1 HOUR","HAZARDOUS",501,999,0.605,99999.9
O3,"8-HR RUN AVG BEGIN HOUR","NONE",-1,-1,0.505,99999.0
O3,"8-HR RUN AVG BEGIN HOUR","GOOD",0,50,0.0,0.054
O3,"8-HR RUN AVG BEGIN HOUR","MODERATE",51,100,0.055,0.07
O3,"8-HR RUN AVG BEGIN HOUR","UNHEALTHY FOR SENSITIVE",101,150,0.071,0.085
O3,"8-HR RUN AVG BEGIN HOUR","UNHEALTHY",151,200,0.086,0.105
O3,"8-HR RUN AVG BEGIN HOUR","VERY UNHEALTHY",201,300,0.106,0.2
PM10,"24 HOUR","GOOD",0,50,0.0,54.0
PM10,"24 HOUR","MODERATE",51,100,55.0,154.0
PM10,"24 HOUR","UNHEALTHY FOR SENSITIVE",101,150,155.0,254.0
PM10,"24 HOUR","UNHEALTHY",151,200,255.0,354.0
PM10,"24 HOUR","VERY UNHEALTHY",201,300,355.0,424.0
PM10,"24 HOUR","HAZARDOUS",301,500,425.0,604.0
PM10,"24 HOUR","HAZARDOUS",501,999,605.0,99999.9
PM10,"24-HR BLK AVG","GOOD",0,50,0.0,54.0
PM10,"24-HR BLK AVG","MODERATE",51,100,55.0,154.0
PM10,"24-HR BLK AVG","UNHEALTHY FOR SENSITIVE",101,150,155.0,254.0
PM10,"24-HR BLK AVG","UNHEALTHY",151,200,255.0,354.0
PM10,"24-HR BLK AVG","VERY UNHEALTHY",201,300,355.0,424.0
PM10,"24-HR BLK AVG","HAZARDOUS",301,500,425.0,604.0
PM10,"24-HR BLK AVG","HAZARDOUS",501,999,605.0,99999.9
"PM2.5 - Local Conditions","24 HOUR","GOOD",0,50,0.0,9.0
"PM2.5 - Local Conditions","24 HOUR","MODERATE",51,100,9.1,35.4
"PM2.5 - Local Conditions","24 HOUR","UNHEALTHY FOR SENSITIVE",101,150,35.5,55.4
"PM2.5 - Local Conditions","24 HOUR","UNHEALTHY",151,200,55.5,125.4
"PM2.5 - Local Conditions","24 HOUR","VERY UNHEALTHY",201,300,125.5,225.4
"PM2.5 - Local Conditions","24 HOUR","HAZARDOUS",301,500,225.5,325.4
"PM2.5 - Local Conditions","24 HOUR","HAZARDOUS",501,999,325.5,99999.9
"PM2.5 - Local Conditions","24-HR BLK AVG","GOOD",0,50,0.0,9.0
"PM2.5 - Local Conditions","24-HR BLK AVG","MODERATE",51,100,9.1,35.4
"PM2.5 - Local Conditions","24-HR BLK AVG","UNHEALTHY FOR SENSITIVE",101,150,35.5,55.4
"PM2.5 - Local Conditions","24-HR BLK AVG","UNHEALTHY",151,200,55.5,125.4
"PM2.5 - Local Conditions","24-HR BLK AVG","VERY UNHEALTHY",201,300,125.5,225.4
"PM2.5 - Local Conditions","24-HR BLK AVG","HAZARDOUS",301,500,225.5,325.4
"PM2.5 - Local Conditions","24-HR BLK AVG","HAZARDOUS",501,999,325.5,99999.9
SO2,"1 HOUR","GOOD",0,50,0.0,35.0
SO2,"1 HOUR","MODERATE",51,100,36.0,75.0
SO2,"1 HOUR","UNHEALTHY FOR SENSITIVE",101,150,76.0,185.0
SO2,"1 HOUR","UNHEALTHY",151,200,186.0,304.0
SO2,"1 HOUR","UNHEALTHY",200,200,305.0,99999.0
SO2,"24-HR BLK AVG","NONE",-1,-1,0.0,304.0
SO2,"24-HR BLK AVG","VERY UNHEALTHY",201,300,305.0,604.0
SO2,"24-HR BLK AVG","HAZARDOUS",301,500,605.0,1004.0
SO2,"24-HR BLK AVG","HAZARDOUS",501,999,1005.0,99999.0
